data,hora,mensagem,ponto,linha,horario_ideal,atraso_minutos,datetime
14/05/2025,10:22,vai passar agora na praça,praça das corujas,15A,09:40,42.0,2025-05-14 10:22:00
14/05/2025,10:28,"Passando na feira agora, tá como 15 A.",feira,15,09:58,30.0,2025-05-14 10:28:00
14/05/2025,12:10,Chegou na feira ✨,feira,15,11:53,17.0,2025-05-14 12:10:00
14/05/2025,13:22,chegou na praça agr,praça das corujas,15A,13:10,12.0,2025-05-14 13:22:00
14/05/2025,13:36,Já chegou na Ufob,ufob,15A,13:35,1.0,2025-05-14 13:36:00
14/05/2025,14:37,passando na feira,feira,15,14:03,34.0,2025-05-14 14:37:00
15/05/2025,06:45,Praça das corujas,praça das corujas,15A,06:45,0.0,2025-05-15 06:45:00
15/05/2025,07:16,Tá chegando na feira,feira,15,06:48,28.0,2025-05-15 07:16:00
15/05/2025,08:41,15a na praça das corujas,praça das corujas,15A,08:00,41.0,2025-05-15 08:41:00
15/05/2025,12:08,Chegou agora no assai,assaí,15,11:48,20.0,2025-05-15 12:08:00
15/05/2025,12:12,Chegou agora na Feira,feira,15,11:53,19.0,2025-05-15 12:12:00
16/05/2025,10:28,15a na feira,feira,15,09:58,30.0,2025-05-16 10:28:00
16/05/2025,12:22,15 tá aq na praça das corujas,praça das corujas,15A,12:00,22.0,2025-05-16 12:22:00
16/05/2025,13:17,Praça,praça das corujas,15A,13:10,7.0,2025-05-16 13:17:00
16/05/2025,18:23,"Saindo da ufob, no caso",ufob,15A,16:35,108.0,2025-05-16 18:23:00
16/05/2025,18:45,15 indo pra feira,feira,15,18:13,32.0,2025-05-16 18:45:00
17/05/2025,18:45,15 indo pra feira RASF,feira,15,18:13,32.0,2025-05-17 18:45:00
03/04/2025,07:17,passando na praça das corujas,praça das corujas,15A,07:00,17.0,2025-04-03 07:17:00
04/04/2025,07:15,passando em frente ao assaí,assaí,15,06:43,32.0,2025-04-04 07:15:00
04/04/2025,07:36,Praça das corujas,praça das corujas,15A,07:00,36.0,2025-04-04 07:36:00
04/04/2025,08:40,Passando na feira,feira,15,08:18,22.0,2025-04-04 08:40:00
04/04/2025,11:56,praça das corujas,praça das corujas,15A,10:30,86.0,2025-04-04 11:56:00
04/04/2025,13:17,Eu pego no ponto da feira,feira,15,11:53,84.0,2025-04-04 13:17:00
04/04/2025,13:19,Acabou de sair da praça das corujas,praça das corujas,15A,13:10,9.0,2025-04-04 13:19:00
04/04/2025,13:29,Saindo da praça das corujas,praça das corujas,15A,13:10,19.0,2025-04-04 13:29:00
07/04/2025,05:30,Na praça das corujas,praça das corujas,15A,06:20,-50.0,2025-04-07 05:30:00
07/04/2025,07:05,"15 a chegou na praça das corujas vazio, que sabor",praça das corujas,15A,07:00,5.0,2025-04-07 07:05:00
07/04/2025,07:26,Acabou de chegar na feira,feira,15,06:48,38.0,2025-04-07 07:26:00
07/04/2025,18:51,saindo da praça das corujas,praça das corujas,15A,18:00,51.0,2025-04-07 18:51:00
08/04/2025,07:30,Ent o 15A já saiu da praça das corujas lotado né?,praça das corujas,15A,07:00,30.0,2025-04-08 07:30:00
09/04/2025,08:43,Chegando na praça das corujas,praça das corujas,15A,08:00,43.0,2025-04-09 08:43:00
09/04/2025,18:34,Na praças da curuja,praça das corujas,15A,18:00,34.0,2025-04-09 18:34:00
09/04/2025,19:34,na rua da feira você deve encontrar,feira,15,19:23,11.0,2025-04-09 19:34:00
10/04/2025,07:31,15A na praça das corujas,praça das corujas,15A,07:00,31.0,2025-04-10 07:31:00
10/04/2025,08:10,Na praça das corujas,praça das corujas,15A,08:00,10.0,2025-04-10 08:10:00
10/04/2025,08:33,Avisa se lotar na praça da corujas,praça das corujas,15A,08:00,33.0,2025-04-10 08:33:00
10/04/2025,08:36,Passando na frente do BK,,15,,,2025-04-10 08:36:00
10/04/2025,08:42,Não lotou na feira,feira,15,08:18,24.0,2025-04-10 08:42:00
10/04/2025,10:36,Acabou de passar na praça das corujas,praça das corujas,15A,10:30,6.0,2025-04-10 10:36:00
10/04/2025,11:27,Já tô saindo da aula,,15,,,2025-04-10 11:27:00
11/04/2025,07:19,Chegando na UFOB,ufob,15A,07:10,9.0,2025-04-11 07:19:00
11/04/2025,09:02,"Ou seja, dentro de uns 10 minutos tem um passando na praça das corujas",praça das corujas,15A,08:00,62.0,2025-04-11 09:02:00
12/04/2025,07:15,Linha 15 passando na parada da feira,feira,15,06:48,27.0,2025-04-12 07:15:00
14/04/2025,06:50,na praça,praça das corujas,15A,06:45,5.0,2025-04-14 06:50:00
14/04/2025,08:42,15-A indo para a praça das corujas,praça das corujas,15A,08:00,42.0,2025-04-14 08:42:00
15/04/2025,06:57,15a na praça,praça das corujas,15A,06:45,12.0,2025-04-15 06:57:00
15/04/2025,07:21,Chegando na feira,feira,15,06:48,33.0,2025-04-15 07:21:00
15/04/2025,13:12,15A chegando na praça das corujas agr,praça das corujas,15A,13:10,2.0,2025-04-15 13:12:00
15/04/2025,13:25,Feira.,feira,15,13:23,2.0,2025-04-15 13:25:00
16/04/2025,08:44,Na feira,feira,15,08:18,26.0,2025-04-16 08:44:00
16/04/2025,10:32,Tá na feira,feira,15,09:58,34.0,2025-04-16 10:32:00
16/04/2025,16:36,15 chegando na praça das corujas,praça das corujas,15A,16:10,26.0,2025-04-16 16:36:00
16/04/2025,16:36,indo pra praça das corujas,praça das corujas,15A,16:10,26.0,2025-04-16 16:36:00
16/04/2025,17:11,15 saindo da ufob,ufob,15A,16:35,36.0,2025-04-16 17:11:00
17/04/2025,10:32,Feira,feira,15,09:58,34.0,2025-04-17 10:32:00
22/04/2025,08:41,Indo para a feira,feira,15,08:18,23.0,2025-04-22 08:41:00
23/04/2025,08:40,Passando na feira agora,feira,15,08:18,22.0,2025-04-23 08:40:00
23/04/2025,12:41,saindo da ufob,ufob,15A,12:25,16.0,2025-04-23 12:41:00
24/04/2025,10:31,Saindo da feira,feira,15,09:58,33.0,2025-04-24 10:31:00
25/04/2025,09:10,"Sim, passando pela feira no momento",feira,15,08:18,52.0,2025-04-25 09:10:00
30/04/2025,18:35,Passando na praça,praça das corujas,15A,18:00,35.0,2025-04-30 18:35:00
05/05/2025,08:44,15 está passando pela feira agora,feira,15,08:18,26.0,2025-05-05 08:44:00
20/05/2025,06:46,Linha 15 de 6h30 ta na feira,feira,15,06:33,13.0,2025-05-20 06:46:00
20/05/2025,06:59,praça,praça das corujas,15A,06:45,14.0,2025-05-20 06:59:00
20/05/2025,07:17,Chegando na UFOB,ufob,15A,07:10,7.0,2025-05-20 07:17:00
20/05/2025,07:18,Saindo da praça,praça das corujas,15A,07:00,18.0,2025-05-20 07:18:00
20/05/2025,08:43,Indo para a Praça,praça das corujas,15A,08:00,43.0,2025-05-20 08:43:00
20/05/2025,10:25,Saindo agora,,15,,,2025-05-20 10:25:00
20/05/2025,10:33,Tá na feira,feira,15,09:58,35.0,2025-05-20 10:33:00
20/05/2025,11:57,Saindo da Praça das corujas,praça das corujas,15A,10:30,87.0,2025-05-20 11:57:00
20/05/2025,15:22,"uai, já chegou na ufob",ufob,15A,14:15,67.0,2025-05-20 15:22:00
20/05/2025,15:22,passou as 15h lá na feira,feira,15,14:03,79.0,2025-05-20 15:22:00
20/05/2025,18:33,15A na feira,feira,15,18:13,20.0,2025-05-20 18:33:00
21/05/2025,06:39,Chegando na feira,feira,15,06:33,6.0,2025-05-21 06:39:00
21/05/2025,08:44,Na praça das corujas,praça das corujas,15A,08:00,44.0,2025-05-21 08:44:00
21/05/2025,10:32,Na feira,feira,15,09:58,34.0,2025-05-21 10:32:00
21/05/2025,13:12,Na feira,feira,15,11:53,79.0,2025-05-21 13:12:00
21/05/2025,14:48,acabou de sair da praça das corujas,praça das corujas,15A,13:50,58.0,2025-05-21 14:48:00
21/05/2025,16:34,Chegando na feira,feira,15,15:33,61.0,2025-05-21 16:34:00
21/05/2025,18:16,Na praça,praça das corujas,15A,18:00,16.0,2025-05-21 18:16:00
21/05/2025,18:23,O 9 tá na feira,feira,15,18:13,10.0,2025-05-21 18:23:00
23/05/2025,08:39,Já estão na feira,feira,15,08:18,21.0,2025-05-23 08:39:00
23/05/2025,11:55,Na praça das corujas,praça das corujas,15A,10:30,85.0,2025-05-23 11:55:00
23/05/2025,16:32,15A saindo da UFOB,ufob,15A,15:25,67.0,2025-05-23 16:32:00
23/05/2025,16:33,15saindo da praça,praça das corujas,15A,16:10,23.0,2025-05-23 16:33:00
23/05/2025,18:32,15A passando na feira,feira,15,18:13,19.0,2025-05-23 18:32:00
24/05/2025,07:10,vai passar na praça agora,praça das corujas,15A,07:00,10.0,2025-05-24 07:10:00
